Month,
1985-04,0.2
1985-05,-0.1
1985-06,0.1
1985-07,1.7
1985-08,3.6
1985-09,0.7
1985-10,1
1985-11,3.4
1985-12,3.2
1986-01,2.5
1986-02,3.1
1986-03,2.4
1986-04,2.3
1986-05,0.2
1986-06,0.3
1986-07,2.5
1986-08,2.5
1986-09,4.1
1986-10,4.1
1986-11,1.6
1986-12,1.7
1987-01,-0.1
1987-02,3.4
1987-03,6.3
1987-04,6.2
1987-05,8.2
1987-06,8
1987-07,6.9
1987-08,4.5
1987-09,4.6
1987-10,3.3
1987-11,5.8
1987-12,6.1
1988-01,10.9
1988-02,6.3
1988-03,3.8
1988-04,5.2
1988-05,6.6
1988-06,7.2
1988-07,4.3
1988-08,6
1988-09,7.8
1988-10,9.7
1988-11,10
1988-12,10.5
1989-01,8.5
1989-02,8
1989-03,9.4
1989-04,9.3
1989-05,9.3
1989-06,9.6
1989-07,8.3
1989-08,8.4
1989-09,10.5
1989-10,11.9
1989-11,4.9
1989-12,4.5
1990-01,2.9
1990-02,7.5
1990-03,6.7
1990-04,7.5
1990-05,3.9
1990-06,3.3
1990-07,4.5
1990-08,4.4
1990-09,3.9
1990-10,4
1990-11,2.5
1990-12,2.4
1991-01,1.3
1991-02,0.2
1991-03,4.1
1991-04,2.9
1991-05,-0.9
1991-06,-1.2
1991-07,-1.8
1991-08,-2
1991-09,-5.6
1991-10,-5.4
1991-11,-2.1
1991-12,-2.8
1992-01,-4.9
1992-02,-9
1992-03,-6
1992-04,-6.6
1992-05,-9.7
1992-06,-7.1
1992-07,-7
1992-08,-7.8
1992-09,-9.6
1992-10,-10.7
1992-11,-13.6
1992-12,-10.9
1993-01,-9.5
1993-02,-11.7
1993-03,-12
1993-04,-11.4
1993-05,-8.1
1993-06,-8.1
1993-07,-8.1
1993-08,-8.9
1993-09,-6.9
1993-10,-6.9
1993-11,-3.5
1993-12,-4.7
1994-01,-0.8
1994-02,0.7
1994-03,-2.6
1994-04,-3.8
1994-05,-4.2
1994-06,-5.5
1994-07,-3.6
1994-08,-4.9
1994-09,-3.1
1994-10,-2.8
1994-11,-1.9
1994-12,-3.5
1995-01,-4.9
1995-02,-6.3
1995-03,-6.4
1995-04,-3.3
1995-05,1.5
1995-06,-1.7
1995-07,-1.9
1995-08,-2.9
1995-09,-1.2
1995-10,-3.6
1995-11,-3.9
1995-12,-4.2
1996-01,-1.9
1996-02,0.5
1996-03,-0.9
1996-04,0.9
1996-05,-0.1
1996-06,-0.4
1996-07,-4
1996-08,1.5
1996-09,2.2
1996-10,2.3
1996-11,-0.5
1996-12,-2.4
1997-01,-4.9
1997-02,2.1
1997-03,0.4
1997-04,-1.5
1997-05,0.2
1997-06,0.7
1997-07,-0.8
1997-08,-2.6
1997-09,1.4
1997-10,3.6
1997-11,1.3
1997-12,1.4
1998-01,3.5
1998-02,2.2
1998-03,3.4
1998-04,3.4
1998-05,2.8
1998-06,6.7
1998-07,2.8
1998-08,1.2
1998-09,1.4
1998-10,1.8
1998-11,2.3
1998-12,2.3
1999-01,3.7
1999-02,2.2
1999-03,1.4
1999-04,-1.4
1999-05,-1.2
1999-06,-1.7
1999-07,1
1999-08,-2.6
1999-09,1.4
1999-10,-1
1999-11,-1.2
1999-12,0.2
2000-01,6.6
2000-02,4.4
2000-03,8.5
2000-04,5.8
2000-05,8.7
2000-06,2.6
2000-07,8.9
2000-08,5.5
2000-09,1.2
2000-10,3.1
2000-11,2.7
2000-12,1.6
2001-01,0
2001-02,1.1
2001-03,-2
2001-04,-2
2001-05,-1.9
2001-06,0.1
2001-07,-2.2
2001-08,2.8
2001-09,-3.9
2001-10,-4.2
2001-11,-2.2
2001-12,-0.1
2002-01,-2.5
2002-02,-2.3
2002-03,-1
2002-04,1.6
2002-05,-4.1
2002-06,-1.9
2002-07,-5.2
2002-08,-4.4
2002-09,-4.2
2002-10,-1.4
2002-11,-0.5
2002-12,-5.1
2003-01,-5.1
2003-02,-3
2003-03,-6
2003-04,-5.2
2003-05,-4.4
2003-06,-5.4
2003-07,-4.9
2003-08,-5.9
2003-09,-5.9
2003-10,-6.7
2003-11,-6.1
2003-12,-5
2004-01,-5.8
2004-02,-3.8
2004-03,-5.3
2004-04,-3.8
2004-05,-2.7
2004-06,-2.1
2004-07,-2.8
2004-08,-3.1
2004-09,-1.9
2004-10,-2.9
2004-11,-5.2
2004-12,-3.4
2005-01,-3.9
2005-02,-2
2005-03,-2.8
2005-04,-0.8
2005-05,-2.4
2005-06,-4.1
2005-07,-6.3
2005-08,-4.1
2005-09,-0.3
2005-10,-5.3
2005-11,-6.6
2005-12,-4.4
2006-01,0
2006-02,-1
2006-03,-1.5
2006-04,-1.3
2006-05,-1.2
2006-06,0.1
2006-07,2.1
2006-08,2.8
2006-09,3.6
2006-10,5.7
2006-11,3.7
2006-12,1.2
2007-01,1.3
2007-02,0.5
2007-03,0.1
2007-04,2.7
2007-05,1.8
2007-06,3.1
2007-07,2.6
2007-08,4.8
2007-09,1.2
2007-10,3.5
2007-11,7.5
2007-12,4.2
2008-01,5.4
2008-02,5.4
2008-03,3.9
2008-04,2.7
2008-05,1.2
2008-06,-0.8
2008-07,-2.7
2008-08,-2.8
2008-09,-3.9
2008-10,-2.8
2008-11,-5.3
2008-12,-13.6
2009-01,-18.4
2009-02,-16.2
2009-03,-16.1
2009-04,-15.6
2009-05,-12.5
2009-06,-15.2
2009-07,-12.8
2009-08,-12.8
2009-09,-8
2009-10,-7.5
2009-11,-9.2
2009-12,-7.3
2010-01,-5.7
2010-02,-2.4
2010-03,-3
2010-04,-1.3
,
Retail sale - monthly data,
